"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","250250002","1","0.5","ppb","0","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/02/2020","AQS","250250002","1","0.8","ppb","0","BOSTON KENMORE SQ","22","92.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/03/2020","AQS","250250002","1","1","ppb","1","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/04/2020","AQS","250250002","1","1.7","ppb","1","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/05/2020","AQS","250250002","1","0.5","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/06/2020","AQS","250250002","1","1.2","ppb","1","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/07/2020","AQS","250250002","1","0.9","ppb","0","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/09/2020","AQS","250250002","1","0.7","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/10/2020","AQS","250250002","1","0.6","ppb","0","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/11/2020","AQS","250250002","1","0.4","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/12/2020","AQS","250250002","1","0.4","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/13/2020","AQS","250250002","1","0.8","ppb","0","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/14/2020","AQS","250250002","1","1.8","ppb","1","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/15/2020","AQS","250250002","1","0.6","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/16/2020","AQS","250250002","1","1","ppb","1","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/17/2020","AQS","250250002","1","0.4","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/18/2020","AQS","250250002","1","0.7","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/20/2020","AQS","250250002","1","0.6","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/21/2020","AQS","250250002","1","1.1","ppb","1","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/22/2020","AQS","250250002","1","1.7","ppb","1","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/23/2020","AQS","250250002","1","1.5","ppb","1","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/24/2020","AQS","250250002","1","1.6","ppb","1","BOSTON KENMORE SQ","22","92.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/25/2020","AQS","250250002","1","0.5","ppb","0","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/26/2020","AQS","250250002","1","0.6","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/27/2020","AQS","250250002","1","1","ppb","1","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/28/2020","AQS","250250002","1","0.7","ppb","0","BOSTON KENMORE SQ","21","88.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
"01/29/2020","AQS","250250002","1","0.8","ppb","0","BOSTON KENMORE SQ","24","100.0000","42401","Sulfur dioxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3488727124916","-71.0971627875593"
